Tiempo;ErrorMat;Caidas;NivelFrustracion;Estado
14.066;0;0;28.10606;Enganchado
14.07746;0;0;28.10606;Enganchado
24.41689;0;0;41.41447;Enganchado
25.12635;0;0;54.32243;Frustrado
25.14208;0;0;54.32243;Frustrado
30.44254;0;0;60.19608;Frustrado
0.5337558;0;0;6.287879;Optimo
0.9961713;0;0;28.10606;Enganchado
1.014464;0;0;28.10606;Enganchado
1.598149;0;0;41.41447;Enganchado
2.1752;0;0;54.32243;Frustrado
2.183742;0;0;54.32243;Frustrado
3.550776;0;0;60.19608;Frustrado
1.402186;0;0;6.287879;Optimo
1.617201;0;0;28.10606;Enganchado
1.636764;0;0;28.10606;Enganchado
2.187464;0;0;41.41447;Enganchado
2.73153;0;0;54.32243;Frustrado
2.74164;0;0;54.32243;Frustrado
3.427248;0;0;60.19608;Frustrado
5.094291;0;0;60.19608;Frustrado
17.52219;0;0;60.19608;Frustrado
17.53076;0;0;60.19608;Frustrado
18.59165;0;0;60.19608;Frustrado
19.98191;0;0;60.19608;Frustrado
20.75208;0;0;60.19608;Frustrado
28.30337;1;0;60.19608;Frustrado
29.99228;1;0;60.19608;Frustrado
30.66989;1;0;60.19608;Frustrado
31.03535;1;0;60.19608;Frustrado
31.21189;1;0;60.19608;Frustrado
40.51651;2;0;67.69444;Frustrado
44.48679;2;0;67.69444;Frustrado
44.49663;2;0;67.69444;Frustrado
45.07198;2;0;67.69444;Frustrado
45.42635;2;0;67.69444;Frustrado
45.54299;2;0;67.69444;Frustrado
45.56299;2;0;67.69444;Frustrado
45.58299;2;0;67.69444;Frustrado
45.60299;2;0;67.69444;Frustrado
45.62299;2;0;67.69444;Frustrado
45.64299;2;0;67.69444;Frustrado
45.66299;2;0;67.69444;Frustrado
45.68299;2;0;67.69444;Frustrado
45.70299;2;0;67.69444;Frustrado
45.72299;2;0;67.69444;Frustrado
45.74299;2;0;67.69444;Frustrado
45.76299;2;0;67.69444;Frustrado
45.78299;2;0;67.69444;Frustrado
45.80299;2;0;67.69444;Frustrado
45.82299;2;0;67.69444;Frustrado
45.84299;2;0;67.69444;Frustrado
45.86299;2;0;67.69444;Frustrado
45.88299;2;0;67.69444;Frustrado
45.90299;2;0;67.69444;Frustrado
45.92299;2;0;67.69444;Frustrado
4.626048;0;0;6.287879;Optimo
6.131415;0;0;28.10606;Enganchado
6.148986;0;0;28.10606;Enganchado
7.358799;0;0;41.41447;Enganchado
8.714144;0;0;54.32243;Frustrado
8.722488;0;0;54.32243;Frustrado
0.8505345;0;0;6.287879;Optimo
1.353342;0;0;28.10606;Enganchado
1.371751;0;0;28.10606;Enganchado
1.880792;0;0;41.41447;Enganchado
2.510715;0;0;54.32243;Frustrado
2.520536;0;0;54.32243;Frustrado
3.486352;0;0;60.19608;Frustrado
0.8801233;0;0;6.287879;Optimo
1.300414;0;0;28.10606;Enganchado
1.320284;0;0;28.10606;Enganchado
1.779503;0;0;41.41447;Enganchado
2.827143;0;0;54.32243;Frustrado
2.835524;0;0;54.32243;Frustrado
3.90097;0;0;60.19608;Frustrado
1.259269;0;0;6.287879;Optimo
1.704969;0;0;28.10606;Enganchado
1.722595;0;0;28.10606;Enganchado
2.702939;0;0;41.41447;Enganchado
3.533481;0;0;54.32243;Frustrado
3.542277;0;0;54.32243;Frustrado
0.6596684;0;0;6.287879;Optimo
5.088919;0;0;28.10606;Enganchado
5.10694;0;0;28.10606;Enganchado
6.66551;0;0;41.41447;Enganchado
8.626976;0;0;54.32243;Frustrado
8.635367;0;0;54.32243;Frustrado
14.2146;0;0;60.19608;Frustrado
4.437007;0;0;6.287879;Optimo
4.437007;0;0;28.10606;Enganchado
4.457007;0;0;28.10606;Enganchado
4.525441;0;0;41.41447;Enganchado
4.525441;0;0;54.32243;Frustrado
4.545441;0;0;54.32243;Frustrado
4.565441;0;0;60.19608;Frustrado
4.585441;0;0;60.19608;Frustrado
4.605441;0;0;60.19608;Frustrado
4.625441;0;0;60.19608;Frustrado
2.044743;0;0;6.287879;Optimo
2.512281;0;0;28.10606;Enganchado
2.535006;0;0;28.10606;Enganchado
3.079732;0;0;41.41447;Enganchado
3.567201;0;0;54.32243;Frustrado
3.57598;0;0;54.32243;Frustrado
7.423428;0;0;60.19608;Frustrado
16.34955;0;0;0;Optimo
16.34955;0;0;0;Optimo
18.47591;0;0;6.287879;Optimo
18.86438;0;0;28.10606;Enganchado
18.88046;0;0;28.10606;Enganchado
20.88523;0;0;41.41447;Enganchado
24.15359;0;0;54.32243;Frustrado
24.17108;0;0;54.32243;Frustrado
9.180305;0;0;0;Optimo
9.180305;0;0;0;Optimo
15.84522;0;0;6.287879;Optimo
60.61777;0;0;28.10606;Enganchado
60.65298;0;0;28.10606;Enganchado
67.91529;0;0;41.41447;Enganchado
81.32114;0;0;54.32243;Frustrado
81.35793;0;0;54.32243;Frustrado
9.336248;0;0;6.287879;Optimo
9.618084;0;0;28.10606;Enganchado
9.638147;0;0;28.10606;Enganchado
9.975102;0;0;41.41447;Enganchado
10.39844;0;0;54.32243;Frustrado
10.40714;0;0;54.32243;Frustrado
1.595405;0;0;6.287879;Optimo
2.143211;0;0;28.10606;Enganchado
2.16297;0;0;28.10606;Enganchado
2.738484;0;0;41.41447;Enganchado
3.346513;0;0;54.32243;Frustrado
3.355108;0;0;54.32243;Frustrado
23.88979;0;0;0;Optimo
23.88979;0;0;0;Optimo
27.08465;0;0;6.287879;Optimo
27.55447;0;0;28.10606;Enganchado
27.56894;0;0;28.10606;Enganchado
29.76337;0;0;41.41447;Enganchado
30.96654;0;0;54.32243;Frustrado
30.98143;0;0;54.32243;Frustrado
35.11883;0;0;60.19608;Frustrado
59.37581;0;0;60.19608;Frustrado
95.81567;0;0;60.19608;Frustrado
1.25057;0;0;6.287879;Optimo
1.591818;0;0;28.10606;Enganchado
1.611278;0;0;28.10606;Enganchado
1.938409;0;0;41.41447;Enganchado
2.303102;0;0;54.32243;Frustrado
2.311545;0;0;54.32243;Frustrado
21.3012;0;0;0;Optimo
21.3012;0;0;0;Optimo
24.38003;0;0;6.287879;Optimo
24.75017;0;0;28.10606;Enganchado
24.76626;0;0;28.10606;Enganchado
25.16101;0;0;41.41447;Enganchado
25.60639;0;0;54.32243;Frustrado
25.61938;0;0;54.32243;Frustrado
14.11699;0;1;6.287879;Optimo
27.26137;1;1;6.287879;Optimo
43.89373;2;1;31.7102;Enganchado
43.91805;2;1;31.7102;Enganchado
55.19577;0;0;0;Optimo
55.19577;0;0;0;Optimo
58.4936;0;0;6.287879;Optimo
59.29306;0;0;28.10606;Enganchado
59.31318;0;0;28.10606;Enganchado
60.0798;0;0;41.41447;Enganchado
62.27576;0;0;54.32243;Frustrado
62.30442;0;0;54.32243;Frustrado
13.13618;1;0;6.287879;Optimo
13.73193;1;0;28.10606;Enganchado
13.75102;1;0;28.10606;Enganchado
25.66615;0;0;0;Optimo
25.66615;0;0;0;Optimo
34.1818;0;0;6.287879;Optimo
35.23424;0;0;28.10606;Enganchado
35.25266;0;0;28.10606;Enganchado
44.91558;0;0;41.41447;Enganchado
45.78537;0;0;54.32243;Frustrado
45.79852;0;0;54.32243;Frustrado
10.56681;0;0;0;Optimo
10.56681;0;0;0;Optimo
17.42861;0;0;6.287879;Optimo
19.13563;0;0;28.10606;Enganchado
19.16597;0;0;28.10606;Enganchado
26.95914;0;0;41.41447;Enganchado
32.93815;0;0;54.32243;Frustrado
32.9662;0;0;54.32243;Frustrado
1.103262;0;0;6.287879;Optimo
1.562274;0;0;28.10606;Enganchado
1.589049;0;0;28.10606;Enganchado
12.74403;0;0;0;Optimo
12.74403;0;0;0;Optimo
14.95627;0;0;6.287879;Optimo
15.3712;0;0;28.10606;Enganchado
15.38568;0;0;28.10606;Enganchado
